Statement,Link,Date,Source,Label
"Says Joe Biden “shut down travel from 8 countries in response to the Omicron variant, but he refuses to require a #COVID19 test for illegal immigrants crossing our Southern border.”",https://www.politifact.com/factchecks/2021/dec/14/glenn-grothman/some-migrants-being-tested-covid-southern-border-o/,"mber 14, 2021",Glenn Grothman,half-true
“Overdoses in Virginia (are) up 35%.”,https://www.politifact.com/factchecks/2021/dec/14/john-mcguire/overdose-deaths-35-virginia/,"mber 14, 2021",John McGuire,mostly-true
“The CBO says (the Build Back Better Act) is $3 trillion of deficit spending.”,https://www.politifact.com/factchecks/2021/dec/14/lindsey-graham/sen-grahams-false-claim-about-build-back-better-ad/,"mber 14, 2021",Lindsey Graham,false
“Wisconsin 2020 election investigation finds more illegal votes were cast than Biden's margin of victory.”,https://www.politifact.com/factchecks/2021/dec/13/facebook-posts/review-did-not-find-more-illegal-votes-bidens-marg/,"mber 13, 2021",Facebook posts,false
Says Anthony Fauci “wants Americans to get 4 shots per year.”,https://www.politifact.com/factchecks/2021/dec/13/facebook-posts/no-fauci-didnt-say-he-wants-americans-get-four-cov/,"mber 13, 2021",Facebook posts,false
“Ivanka Trump is joining the Democrats to run against her dad.”,https://www.politifact.com/factchecks/2021/dec/13/facebook-posts/no-ivanka-trump-isnt-joining-democratic-party-chal/,"mber 13, 2021",Facebook posts,pants-fire
"At Lions Gate Hospital in Vancouver, “13 babies were reportedly stillborn at the hospital in a period of 24 hours. All of their mothers had received a COVID-19 injection.”",https://www.politifact.com/factchecks/2021/dec/13/blog-posting/vancouver-hospital-did-not-see-surge-stillbirths-a/,"mber 13, 2021",Bloggers,false
"“Dr. Oz releases COPD gummies that help quit smoking, detox lungs and stop COPD.”",https://www.politifact.com/factchecks/2021/dec/13/facebook-posts/ad-gummies-endorsed-dr-oz-fake/,"mber 13, 2021",Facebook posts,false
"Around the world, people who exercise their ""health autonomy"" and don't get vaccinated are being put ""basically into internment camps.""",https://www.politifact.com/factchecks/2021/dec/13/ron-johnson/johnson-falsely-says-unvaccinated-people-around-wo/,"mber 13, 2021",Ron Johnson,pants-fire
"“Norway spends about $30,000 per child on early childhood care, Finland spends $23,000, Germany $18,000” and the U.S. $500.",https://www.politifact.com/factchecks/2021/dec/11/robert-reich/fact-checking-how-much-governments-us-other-nation/,"mber 10, 2021",Robert Reich,mostly-true
"Deaths from vaccines have totaled 1,621 from Johnson & Johnson, 4,799 from Moderna, 13,039 from Pfizer and 73 from unknown vaccines. And this is an undercount because “only 1% of deaths are reported.”",https://www.politifact.com/factchecks/2021/dec/10/instagram-posts/theres-no-basis-claim-thousands-have-died-covid-19/,"mber 10, 2021",Instagram posts,false
German chemist Andreas Noack was “assassinated just hours after publishing the secret of the vax by government operatives.”,https://www.politifact.com/factchecks/2021/dec/10/facebook-posts/german-chemist-was-not-killed-government-operative/,"mber 10, 2021",Facebook posts,false
The COVID-19 vaccine is the “deadliest vaccine ever made.”,https://www.politifact.com/factchecks/2021/dec/10/robert-f-kennedy-jr/no-covid-19-vaccine-not-deadliest-vaccine-ever-mad/,"mber 10, 2021","Robert F. Kennedy, Jr.",pants-fire
Warnings about heart problems and blood clots in cold weather are to cover up COVID-19 vaccine side effects.,https://www.politifact.com/factchecks/2021/dec/10/facebook-posts/heart-health-warnings-about-cold-weather-are-real-/,"mber 10, 2021",Facebook posts,false
“Hillary replaces Kamala Harris.”,https://www.politifact.com/factchecks/2021/dec/10/facebook-posts/no-hillary-clinton-didnt-replace-kamala-harris/,"mber 10, 2021",Facebook posts,pants-fire
"""Canada joins the no jab, no food trend""",https://www.politifact.com/factchecks/2021/dec/10/facebook-posts/grocery-shopping-canada-possible-without-covid-19-/,"mber 10, 2021",Facebook posts,barely-true
"The COVID-19 vaccines ""suppress the immune system"" and make people more susceptible to HIV, shingles and herpes.",https://www.politifact.com/factchecks/2021/dec/10/blog-posting/no-getting-covid-19-vaccine-wont-weaken-your-immun/,"mber 10, 2021",Bloggers,false
"The United States had 589 coal-fired plants 10 years ago, and “we're down to 504. … We are the only nation that has reduced our reliance (on) coal energy.""",https://www.politifact.com/factchecks/2021/dec/10/joe-manchin/how-far-has-us-cut-its-reliance-coal-compared-othe/,"mber 10, 2021",Joe Manchin,half-true
The Build Back Better Act “includes $34.5 billion in cuts” for charity care funding to hospitals.,https://www.politifact.com/factchecks/2021/dec/10/rick-scott/scotts-hospital-funding-cut-claim-ignores-new-subs/,"mber 10, 2021",Rick Scott,half-true
"Society is “choosing blood clots and heart problems over cold and flu symptoms, or even no symptoms at all.”",https://www.politifact.com/factchecks/2021/dec/10/facebook-posts/clots-heart-problems-covid-19-vaccines-rare-deaths/,"mber 10, 2021",Facebook posts,false
"The crew of the U.S.S. Constitution consumed more than 252,000 gallons of alcohol and only 10,000 gallons of water on a seven-month trip.",https://www.politifact.com/factchecks/2021/dec/10/viral-image/seaworthy-myth-about-alcohol-aboard-uss-constituti/,"mber 10, 2021",Viral image,false
“An organ recovery medical team pays tribute to a young female organ donor” in this photo.,https://www.politifact.com/factchecks/2021/dec/10/viral-image/miscaptioned-photo-about-organ-donor-gets-details-/,"mber 10, 2021",Viral image,barely-true
"“The toxicity of COVID-Omicron is 5 times higher than that of the delta variant, and the mortality rate is also higher than that of Delta.”",https://www.politifact.com/factchecks/2021/dec/09/facebook-posts/omicron-still-being-studied-data-viral-facebook-po/,"ember 9, 2021",Facebook posts,false
"""Over time there have been 160-some carve-outs to the filibuster.""",https://www.politifact.com/factchecks/2021/dec/09/amy-klobuchar/how-unusual-would-it-be-create-filibuster-carve-ou/,"ember 9, 2021",Amy Klobuchar,mostly-true
Ghislaine Maxwell’s co-defendants include Beyonce and Kanye West.,https://www.politifact.com/factchecks/2021/dec/09/viral-image/no-beyonce-and-kanye-west-arent-ghislaine-maxwells/,"ember 9, 2021",Viral image,false
Electric vehicles are more likely to fail in traffic jams.,https://www.politifact.com/factchecks/2021/dec/09/facebook-posts/electric-vehicles-not-likely-stop-functioning-usin/,"ember 9, 2021",Facebook posts,false
"""COVID-19 vaccines do not stop transmission of COVID, but instead increase it.”",https://www.politifact.com/factchecks/2021/dec/09/facebook-posts/no-covid-19-vaccines-do-not-increase-transmission-/,"ember 9, 2021",Facebook posts,false
"Gas prices were ""$1.86 when I left"" the White House.",https://www.politifact.com/factchecks/2021/dec/08/donald-trump/no-gas-did-not-cost-186-gallon-when-donald-trump-l/,"ember 8, 2021",Donald Trump,false
"A campaign poster for New Zealand Prime Minister Jacinda Ardern with the slogan, “No jab. No job, no refunds.”",https://www.politifact.com/factchecks/2021/dec/08/facebook-posts/fake-new-zealand-poster-targets-vaccine-refusers/,"ember 8, 2021",Facebook posts,false
Says Vice President Kamala Harris called the unvaccinated “dirty Trump people.”,https://www.politifact.com/factchecks/2021/dec/08/instagram-posts/no-kamala-harris-didnt-call-unvaccinated-americans/,"ember 8, 2021",Instagram posts,pants-fire
